Account Name,Building Name,Floor,Room Name,Room Code,Commissioned Date (Year),Planned Lifecycle (Years),Lifecycle Status,Total Initial Capital Cost,Total Future Cost
,,,Huddle 4C106,4C106,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle 4C108,4C108,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle 4C110,4C110,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle 4C2000,4C2000,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle 4S127,4S127,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle 4S129,4S129,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle 4S131,4S131,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle 4S139,4S139,2024,6,Active,"$ 2,066","$ 2,467"
,,,Medium Conf 4C050,4C050,2024,6,Active,"$ 17,737","$ 21,179"
,,,Office 4N105,4N105,2024,6,Active,"$ 3,047","$ 3,638"
,,,Office 4N136,4N136,2024,6,Active,"$ 3,047","$ 3,638"
,,,Office 4N206,4N206,2024,6,Active,"$ 3,047","$ 3,638"
,,,Office 4N245,4N245,2024,6,Active,"$ 3,047","$ 3,638"
,,,Office 4S105,4S105,2024,6,Active,"$ 3,047","$ 3,638"
,,,Office 4S156,4S156,2024,6,Active,"$ 3,047","$ 3,638"
,,,Office 4S158,4S158,2024,6,Active,"$ 3,047","$ 3,638"
,,,Office 4S223,4S223,2024,6,Active,"$ 3,047","$ 3,638"
,,,Small Conf 4C115,4C115,2024,6,Active,"$ 5,263","$ 6,285"
,,5,Huddle 5C106,5C106,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle 5C108,5C108,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle 5C110,5C110,2024,6,Active,"$ 3,279","$ 3,915"
,,,Huddle 5C2000,5C2000,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle 5N212,5N212,2024,6,Active,"$ 3,279","$ 3,915"
,,,Huddle 5N219,5N219,2024,6,Active,"$ 3,279","$ 3,915"
,,,Huddle 5S110,5S110,2024,6,Active,"$ 3,279","$ 3,915"
,,,Huddle 5S137,5S137,2024,6,Active,"$ 3,279","$ 3,915"
,,,Large Conf 5N201,5N201,2024,6,Active,"$ 32,261","$ 38,521"
,,,Medium Conf 5C050,5C050,2024,6,Active,"$ 17,737","$ 21,179"
,,,Meeting Room 5N134,5N134,2024,6,Active,"$ 5,411","$ 6,460"
,,,Office 5N105,5N105,2024,6,Active,"$ 3,047","$ 3,638"
,,,Office 5S105,5S105,2024,6,Active,"$ 3,047","$ 3,638"
University of Utah,AEB,3,AEB 306,306,2025,7,Active,"$ 30,000","$ 36,896"
,,,AEB 306 - F,306 - F,2019,7,Planned,"$ 9,194","$ 11,307"
,,,AEB 310,310,2026,7,Active,"$ 20,000","$ 24,597"
,,,AEB 310 -F,310 -F,2019,7,Planned,"$ 9,458","$ 11,632"
,,,AEB 320,320,2026,7,Active,"$ 25,000","$ 30,747"
,,,AEB 320 - F,320 - F,2019,7,Planned,"$ 15,075","$ 18,540"
,,,AEB 340,340,2026,7,Active,"$ 25,000","$ 30,747"
,,,AEB 340 - F,340 - F,2019,7,Planned,"$ 8,786","$ 10,806"
,,,AEB 350,350,2026,7,Active,"$ 20,000","$ 24,597"
,,,AEB 350 - F,350 - F,2019,7,Planned,"$ 9,458","$ 11,632"
,,,AEB 360,360,2026,7,Active,"$ 20,000","$ 24,597"
,,,AEB 360 - F,360 - F,2019,7,Planned,"$ 9,736","$ 11,974"
,ARCH,1,Arch 127,127,2019,7,Planned,"$ 5,090","$ 6,260"
,,2,Arch 228,228,2019,7,Planned,$ 0,$ 0
,,,Arch 229,229,2019,7,Planned,"$ 2,700","$ 3,321"
,ART,1,ART 158,158,2019,7,Planned,$ 0,$ 0
,ASB,2,ASB 210,210,2019,7,Planned,$ 0,$ 0
,,,ASB 220,220,2019,7,Planned,$ 0,$ 0
,BEHS,-,BEHS Aud.,Aud.,2019,7,Planned,"$ 13,707","$ 16,858"
,,1,BEHS 101,101,2019,7,Planned,"$ 14,344","$ 17,641"
,,,BEHS 102,102,2019,7,Planned,"$ 11,086","$ 13,634"
,,,BEHS 104,104,2019,7,Planned,"$ 10,586","$ 13,019"
,,,BEHS 105,105,2019,7,Planned,"$ 10,981","$ 13,505"
,,,BEHS 106,106,2019,7,Planned,"$ 10,532","$ 12,953"
,,,BEHS 107,107,2019,7,Planned,"$ 11,036","$ 13,573"
,,,BEHS 108,108,2019,7,Planned,"$ 10,258","$ 12,616"
,,,BEHS 109,109,2019,7,Planned,"$ 13,860","$ 17,046"
,,,BEHS 110,110,2019,7,Planned,"$ 13,875","$ 17,064"
,,,BEHS 111,111,2019,7,Planned,"$ 12,747","$ 15,677"
,,,BEHS 112,112,2019,7,Planned,"$ 10,986","$ 13,511"
,,,BEHS 113,113,2019,7,Planned,"$ 10,846","$ 13,340"
,,,BEHS 114,114,2019,7,Planned,"$ 10,851","$ 13,345"
,,,BEHS 116,116,2019,7,Planned,"$ 10,836","$ 13,327"
,BUC,1,BUC 105 - F,105 - F,2019,7,Planned,"$ 10,317","$ 12,689"
,,,BUC 106 - F,106 - F,2019,7,Planned,"$ 11,846","$ 14,569"
,,,BUC 107 - F,107 - F,2019,7,Planned,"$ 9,900","$ 12,175"
,,,BUC 108 - F,108 - F,2019,7,Planned,"$ 7,853","$ 9,658"
,,2,BUC 203 - F,203 - F,2019,7,Planned,"$ 10,347","$ 12,726"
,,,BUC 204 - F,204 - F,2019,7,Planned,"$ 9,080","$ 11,167"
,,,BUC 206 - F,206 - F,2019,7,Planned,"$ 9,040","$ 11,118"
,,,BUC 207-F,207-F,2019,7,Planned,"$ 11,112","$ 13,666"
,,,BUC 208-F,208-F,2019,7,Planned,"$ 8,467","$ 10,413"
,,,BUC 210 - F,210 - F,2019,7,Planned,"$ 12,131","$ 14,920"
,,,BUC 211 - F,211 - F,2019,7,Planned,"$ 11,830","$ 14,549"
,,,BUC 212-F,212-F,2019,7,Planned,"$ 9,297","$ 11,434"
,,3,BUC 301 - F,301 - F,2019,7,Planned,"$ 12,700","$ 15,619"
,,,BUC 302 - F,302 - F,2019,7,Planned,"$ 8,491","$ 10,443"
,,,BUC 303 - F,303 - F,2019,7,Planned,"$ 9,880","$ 12,151"
,,,BUC 304 - F,304 - F,2019,7,Planned,"$ 8,497","$ 10,450"
,,,BUC 305 - F,305 - F,2019,7,Planned,"$ 7,884","$ 9,696"
,CSC,0,CSC 10P,10P,2019,7,Planned,$ 0,$ 0
,,,CSC 12P,12P,2019,7,Planned,$ 0,$ 0
,,,CSC 13,13,2019,7,Planned,$ 0,$ 0
,,,CSC 25,25,2019,7,Planned,$ 0,$ 0
,,2,CSC 205,205,2019,7,Planned,$ 0,$ 0
,,,CSC 205-208 Rack,205-208 Rack,2019,7,Planned,$ 0,$ 0
,,,CSC 206,206,2019,7,Planned,$ 0,$ 0
,,,CSC 208,208,2019,7,Planned,$ 0,$ 0
,CTIHB,1,CTIHB 101 - F,101 - F,2019,7,Planned,"$ 15,662","$ 19,263"
,,,CTIHB 109 - F,109 - F,2019,7,Planned,"$ 15,879","$ 19,529"
,FASB,1,FASB 101 - F,101 - F,2019,7,Planned,"$ 11,937","$ 14,681"
,,2,FASB 250 - F,250 - F,2019,7,Planned,"$ 17,046","$ 20,964"
,,,FASB 295 - F,295 - F,2019,7,Planned,"$ 12,486","$ 15,356"
,FMAB,1,FMAB Aud.,Aud.,2019,7,Planned,$ 0,$ 0
,GC,1,GC 1560,1560,2019,7,Planned,"$ 10,787","$ 13,267"
,,,GC 1570,1570,2019,7,Planned,"$ 11,660","$ 14,340"
,,,GC 1575,1575,2019,7,Planned,"$ 12,360","$ 15,201"
,,,GC 1760,1760,2019,7,Planned,"$ 9,480","$ 11,660"
,,,GC 1770,1770,2019,7,Planned,"$ 11,660","$ 14,340"
,,,GC 1780,1780,2019,7,Planned,"$ 11,741","$ 14,440"
,,,GC 1790,1790,2019,7,Planned,"$ 7,756","$ 9,539"
,,,GC 1900,1900,2019,7,Planned,"$ 6,749","$ 8,300"
,,2,GC 2140,2140,2019,7,Planned,"$ 10,308","$ 12,678"
,,,GC 2560,2560,2019,7,Planned,"$ 26,766","$ 32,918"
,,,GC 2575,2575,2019,7,Planned,"$ 25,562","$ 31,437"
,,,GC 2660,2660,2019,7,Planned,"$ 14,459","$ 17,783"
,,,GC 2675,2675,2019,7,Planned,"$ 20,347","$ 25,024"
,,,GC 2760,2760,2019,7,Planned,"$ 13,343","$ 16,410"
,,,GC 2781,2781,2019,7,Planned,"$ 13,107","$ 16,120"
,,,GC 2880,2880,2019,7,Planned,"$ 7,090","$ 8,720"
,,,GC 2900P,2900P,2019,7,Planned,"$ 36,861","$ 45,334"
,,,GC 2950P,2950P,2019,7,Planned,"$ 36,861","$ 45,334"
,,3,GC 3015,3015,2019,7,Planned,"$ 4,964","$ 6,106"
,,,GC 3153,3153,2019,7,Planned,"$ 12,834","$ 15,784"
,,,GC 3640,3640,2019,7,Planned,"$ 17,782","$ 21,869"
,,,GC 3660,3660,2019,7,Planned,"$ 11,673","$ 14,356"
,,,GC 3680,3680,2019,7,Planned,"$ 14,029","$ 17,254"
,,,GC 3700,3700,2019,7,Planned,"$ 14,029","$ 17,254"
,,4,GC 4020,4020,2019,7,Planned,"$ 15,004","$ 18,452"
,,,GC 4660,4660,2019,7,Planned,"$ 9,233","$ 11,355"
,,,GC 4680,4680,2019,7,Planned,"$ 11,732","$ 14,429"
,,,GC 4700,4700,2019,7,Planned,"$ 11,732","$ 14,429"
,,5,GC 5310,5310,2019,7,Planned,"$ 8,770","$ 10,786"
,,,GC 5490,5490,2019,7,Planned,"$ 5,866","$ 7,214"
,,,GC 5620,5620,2019,7,Planned,"$ 14,208","$ 17,474"
,,,GC 5680,5680,2019,7,Planned,"$ 11,799","$ 14,511"
,,,GC 5750,5750,2019,7,Planned,"$ 19,424","$ 23,889"
,HEB,2,HEB 2002 - F,2002 - F,2019,7,Planned,"$ 10,393","$ 12,782"
,,,"HEB 2004, 2006, 2008 - F",2004,2019,7,Planned,"$ 52,389","$ 64,432"
,,,,2006,2019,7,Planned,"$ 9,962","$ 12,252"
,,,,2008,2019,7,Planned,"$ 9,882","$ 12,154"
,,,HEB 2006,2006,2019,7,Planned,$ 0,$ 0
,,,HEB 2008,2008,2019,7,Planned,$ 0,$ 0
,,,HEB 2010 - F,2010 - F,2019,7,Planned,"$ 10,400","$ 12,791"
,HPR E,2,HPR E 206 - F,206 - F,2019,7,Planned,"$ 22,029","$ 27,093"
,HPR N,2,HPR N 225 - F,225 - F,2019,7,Planned,"$ 10,373","$ 12,757"
,,,HPR N 226 - F,226 - F,2019,7,Planned,"$ 10,629","$ 13,072"
,,,HPR N 229 - F,229 - F,2019,7,Planned,"$ 9,162","$ 11,268"
,,,HPR N 242 - F,242 - F,2019,7,Planned,"$ 11,229","$ 13,810"
,,,HRP N 218 - F,218 - F,2019,7,Planned,"$ 10,287","$ 12,652"
,HSEB,1,HSEB 1007,1007,2019,7,Planned,"$ 13,503","$ 16,607"
,,,HSEB 1120,1120,2019,7,Planned,"$ 14,650","$ 18,018"
,,,HSEB 1130,1130,2019,7,Planned,"$ 10,660","$ 13,110"
,,,HSEB 1140,1140,2019,7,Planned,"$ 10,277","$ 12,639"
,,,HSEB 1700,1700,2019,7,Planned,"$ 28,713","$ 35,313"
,,,HSEB 1730,1730,2019,7,Planned,"$ 29,081","$ 35,766"
,,,HSEB 1750,1750,2019,7,Planned,"$ 19,837","$ 24,397"
,,2,HSEB 2110,2110,2019,7,Planned,"$ 15,638","$ 19,233"
,,,HSEB 2120,2120,2019,7,Planned,"$ 14,678","$ 18,052"
,,,HSEB 2600,2600,2019,7,Planned,"$ 9,020","$ 11,093"
,,,HSEB 2680,2680,2019,7,Planned,"$ 12,273","$ 15,094"
,,,HSEB 2908,2908,2019,7,Planned,"$ 11,340","$ 13,947"
,,,HSEB 2912,2912,2019,7,Planned,"$ 8,860","$ 10,897"
,,,HSEB 2928,2928,2019,7,Planned,"$ 9,040","$ 11,118"
,,,HSEB 2929,2929,2019,7,Planned,"$ 8,889","$ 10,932"
,,,HSEB 2931,2931,2019,7,Planned,"$ 8,850","$ 10,884"
,,,HSEB 2938,2938,2019,7,Planned,"$ 10,850","$ 13,344"
,,,HSEB 2948,2948,2019,7,Planned,"$ 5,393","$ 6,633"
,,,HSEB 2949,2949,2019,7,Planned,$ 0,$ 0
,,,HSEB 2957,2957,2019,7,Planned,"$ 8,943","$ 10,999"
,,,HSEB 2958,2958,2019,7,Planned,"$ 10,933","$ 13,446"
,,,HSEB 2962,2962,2019,7,Planned,"$ 8,943","$ 10,999"
,,,HSEB 2968,2968,2019,7,Planned,"$ 8,324","$ 10,238"
,,,HSEB 2969,2969,2019,7,Planned,"$ 8,543","$ 10,507"
,,,HSEB 2971,2971,2019,7,Planned,"$ 8,543","$ 10,507"
,,3,HSEB 3100A,3100A,2019,7,Planned,"$ 8,772","$ 10,788"
,,,HSEB 3100B,3100B,2019,7,Planned,"$ 7,832","$ 9,632"
,,,HSEB 3100C,3100C,2019,7,Planned,"$ 7,913","$ 9,732"
,,,HSEB 3100D,3100D,2019,7,Planned,"$ 8,462","$ 10,407"
,,,HSEB 3420,3420,2019,7,Planned,"$ 12,658","$ 15,568"
,,,HSEB 3430,3430,2019,7,Planned,"$ 14,758","$ 18,150"
,,,HSEB 3515A,3515A,2019,7,Planned,"$ 10,113","$ 12,438"
,,,HSEB 3515B,3515B,2019,7,Planned,"$ 10,450","$ 12,852"
,,4,HSEB 4100A,4100A,2019,7,Planned,"$ 9,920","$ 12,200"
,,,HSEB 4100B,4100B,2019,7,Planned,"$ 11,214","$ 13,792"
,,,HSEB 4100C,4100C,2019,7,Planned,"$ 51,864","$ 63,786"
,,,HSEB 4100D,4100D,2019,7,Planned,"$ 11,120","$ 13,676"
,,,HSEB 4300A,4300A,2019,7,Planned,"$ 3,246","$ 3,992"
,,,HSEB 4300B,4300B,2019,7,Planned,"$ 3,246","$ 3,992"
,,,HSEB 4300C,4300C,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300D,4300D,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300E,4300E,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300F,4300F,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300G,4300G,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300H,4300H,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300J,4300J,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300K,4300K,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300L,4300L,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300M,4300M,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300O,4300O,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300P,4300P,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300Q,4300Q,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300R,4300R,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300S,4300S,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300T,4300T,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300U,4300U,2019,7,Planned,$ 0,$ 0
,,,HSEB 4300V,4300V,2019,7,Planned,$ 0,$ 0
,,5,HSEB 5100A,5100A,2019,7,Planned,"$ 13,205","$ 16,240"
,,,HSEB 5100B,5100B,2019,7,Planned,"$ 16,785","$ 20,643"
,,,HSEB 5100C ZR,5100C ZR,2019,7,Planned,"$ 47,042","$ 57,856"
,,,HSEB 5100D,5100D,2019,7,Planned,"$ 10,240","$ 12,594"
,JFB,-,JFB B-1,B-1,2019,7,Planned,"$ 5,360","$ 6,592"
,,1,JFB 101,101,2019,7,Planned,"$ 4,150","$ 5,104"
,,,JFB 102,102,2019,7,Planned,"$ 5,650","$ 6,949"
,,,JFB 103,103,2019,7,Planned,"$ 4,150","$ 5,104"
,JTB,1,JTB 110,110,2019,7,Planned,"$ 12,573","$ 15,463"
,,,JTB 120,120,2019,7,Planned,"$ 12,004","$ 14,763"
,,,JTB 130,130,2019,7,Planned,"$ 14,051","$ 17,281"
,,,JTB 140,140,2019,7,Planned,"$ 11,298","$ 13,895"
,,3,JTB 310,310,2019,7,Planned,"$ 5,360","$ 6,592"
,,,JTB 320,320,2019,7,Planned,"$ 5,360","$ 6,592"
,JWB,2,JWB 208 - F,208 - F,2019,7,Planned,"$ 11,073","$ 13,618"
,,3,JWB 308 - F,308 - F,2019,7,Planned,"$ 8,463","$ 10,408"
,,,JWB 333-F,333-F,2019,7,Planned,"$ 7,693","$ 9,461"
,,,JWB 335 - F,335 - F,2019,7,Planned,"$ 18,768","$ 23,082"
,LCB,1,LCB 121,121,2019,7,Planned,$ 0,$ 0
,,2,LCB 215,215,2019,7,Planned,$ 0,$ 0
,,,LCB 219,219,2019,7,Planned,$ 0,$ 0
,,,LCB 222,222,2019,7,Planned,$ 0,$ 0
,,,LCB 225,225,2019,7,Planned,$ 0,$ 0
,,3,LCB 323,323,2019,7,Planned,$ 0,$ 0
,LNCO,1,LNCO 1100,1100,2019,7,Planned,$ 0,$ 0
,,,LNCO 1110,1110,2019,7,Planned,$ 0,$ 0
,,2,LNCO 2850,2850,2019,7,Planned,$ 0,$ 0
,LSSB,0,LSSB W0120,W0120,2019,7,Planned,"$ 1,900","$ 2,337"
,,1,LSSB W1222,W1222,2019,7,Planned,$ 0,$ 0
,MCD,1,MCD 130 - F,130 - F,2019,7,Planned,"$ 10,022","$ 12,326"
,,2,MCD 230 - F,230 - F,2019,7,Planned,"$ 8,695","$ 10,694"
,MEB,2,MEB 2325,2325,2019,7,Planned,"$ 6,570","$ 8,080"
