Account Name,Building Name,Floor,Room Name,Room Code,Commissioned Date (Year),Planned Lifecycle (Years),Lifecycle Status,Total Initial Capital Cost,Total Future Cost
,,1,Classroom A/V,108,2023,7,Active,"$ 4,991","$ 6,138"
,,,Maker Space,101,2023,7,Active,"$ 23,221","$ 28,559"
,,,Open Study 100B,100B,2023,7,Active,"$ 3,167","$ 3,895"
,,,Open Study 100F,100F,2023,7,Active,"$ 3,167","$ 3,895"
,,,Standard Conference Room,126,2023,7,Active,"$ 21,937","$ 26,979"
,,2,Room,263,2023,7,Active,"$ 3,081","$ 3,790"
,,,Room Group,229,2023,7,Active,"$ 4,946","$ 6,083"
,,,,236,2023,7,Active,"$ 4,946","$ 6,083"
,,,,244,2023,7,Active,"$ 4,946","$ 6,083"
,,,Standard Conference Room,230,2023,7,Active,"$ 25,164","$ 30,948"
,,,,231,2023,7,Active,"$ 25,164","$ 30,948"
,,,,232,2023,7,Active,"$ 25,164","$ 30,948"
,,,,258,2023,7,Active,"$ 25,164","$ 30,948"
,,3,Classroom AV,301,2023,7,Active,"$ 23,644","$ 29,080"
,,,Classrooms,322,2023,7,Active,"$ 24,790","$ 30,488"
,,,,326,2023,7,Active,"$ 24,790","$ 30,488"
,,,,327,2023,7,Active,"$ 24,790","$ 30,488"
,,,,328,2023,7,Active,"$ 24,790","$ 30,488"
,,,,331,2023,7,Active,"$ 24,790","$ 30,488"
,,,Room Group,302,2023,7,Active,"$ 3,017","$ 3,710"
,,,,321,2023,7,Active,"$ 38,660","$ 47,547"
,,,,323,2023,7,Active,"$ 3,017","$ 3,710"
,,,,324,2023,7,Active,"$ 3,017","$ 3,710"
,,,,330,2023,7,Active,"$ 38,660","$ 47,547"
,,,,332,2023,7,Active,"$ 3,017","$ 3,710"
,,,Standard Conference Room,304,2023,7,Active,"$ 21,672","$ 26,654"
,Noorda Engineering,0,ME Classroom,001,2022,7,Active,"$ 12,000","$ 14,758"
,,,,004,2022,7,Active,"$ 12,000","$ 14,758"
,,,ME Computer Lab,012,2022,7,Active,"$ 15,000","$ 18,448"
,,1,EE Classroom,101,2022,7,Active,"$ 12,000","$ 14,758"
,,,EE Electronics Teaching Lab,102,2022,7,Active,"$ 15,000","$ 18,448"
,,,,103,2022,7,Active,"$ 15,000","$ 18,448"
,,,,104,2022,7,Active,"$ 15,000","$ 18,448"
,,,,112,2022,7,Active,"$ 15,000","$ 18,448"
,,,EE Renewable Energy & High Power Lab,136,2022,7,Active,"$ 15,000","$ 18,448"
,,,EE Senior Projects Room,126,2022,7,Active,"$ 12,000","$ 14,758"
,,,ME Large Classroom,122,2022,7,Active,"$ 12,000","$ 14,758"
,,,ME Senior Projects Room,125,2022,7,Active,"$ 12,000","$ 14,758"
,,,ME Structures & Materials Testing,137,2022,7,Active,"$ 12,000","$ 14,758"
,,,Materials & Corrosives Lab,138,2022,7,Active,"$ 15,000","$ 18,448"
,,2,CS Computer Classroom,212,2022,7,Active,"$ 12,000","$ 14,758"
,,,,213,2022,7,Active,"$ 12,000","$ 14,758"
,,,,232,2022,7,Active,"$ 12,000","$ 14,758"
,,,CS Testing Sandbox,234,2022,7,Active,"$ 12,000","$ 14,758"
,,,EE Classroom,236,2022,7,Active,"$ 12,000","$ 14,758"
,,,Flexible Classroom,204,2022,7,Active,"$ 12,000","$ 14,758"
,,,Linux Lab,203,2022,7,Active,"$ 15,000","$ 18,448"
,,,NUAMES Biology Classroom,222,2022,7,Active,"$ 12,000","$ 14,758"
,,,NUAMES Chemistry Classroom,221,2022,7,Active,"$ 12,000","$ 14,758"
,,,NUAMES Computer Engineering Classroom,224,2022,7,Active,"$ 12,000","$ 14,758"
,,,NUAMES Engineering Classroom,225,2022,7,Active,"$ 12,000","$ 14,758"
,,,,226,2022,7,Active,"$ 12,000","$ 14,758"
,,,,227,2022,7,Active,"$ 12,000","$ 14,758"
,,,NUAMES Engineering Work Room,-,2022,7,Active,"$ 12,000","$ 14,758"
,,,NUAMES Physics Classroom,218,2022,7,Active,"$ 12,000","$ 14,758"
,,3,CS Computer Classroom,318,2022,7,Active,"$ 12,000","$ 14,758"
,,,,322,2022,7,Active,"$ 12,000","$ 14,758"
,,,,328,2022,7,Active,"$ 12,000","$ 14,758"
,,,CS Computer Teaching Lab,324,2022,7,Active,"$ 15,000","$ 18,448"
,,,,327,2022,7,Active,"$ 15,000","$ 18,448"
,,,EE Classroom,325,2022,7,Active,"$ 12,000","$ 14,758"
,,,,326,2022,7,Active,"$ 12,000","$ 14,758"
,,,PDD Computer Teaching Lab,311,2022,7,Active,"$ 15,000","$ 18,448"
,,,,312,2022,7,Active,"$ 15,000","$ 18,448"
,,,PS Computer Teaching Lab,304,2022,7,Active,"$ 15,000","$ 18,448"
,,,PS Sales Center Lab,305,2022,7,Active,"$ 15,000","$ 18,448"
,,,,307,2022,7,Active,"$ 15,000","$ 18,448"
Yaamava Resort & Casino,Yaamava Theater,1,Hallway,100,2025,7,Active,"$ 99,607","$ 99,607"
,,2,Lobby,200,2025,7,Active,"$ 74,983","$ 74,983"
Grand Summary:,,,,,,,,"$ 5,186,484","$ 6,403,711"
